text,intent
Who are my emergency contacts?,emergency_contacts/contact_now
List my emergency contacts,emergency_contacts/contact_now
Show me my emergency contacts,emergency_contacts/contact_now
Do I have any emergency contacts?,emergency_contacts/contact_now
Emergency contacts list,emergency_contacts/contact_now
Tell Linda I don't feel safe,emergency_contacts/list
Contact Dr. Patel immediately,emergency_contacts/list
Message John saying I'm on my way,emergency_contacts/list
Alert Sarah,emergency_contacts/list
Cancel,general/cancel
Stop,general/cancel
Shut up,general/cancel
Never mind,general/cancel
Forget it,general/cancel
That's enough,general/cancel
What are subliminal tablets?,question/internet
How do black holes evaporate?,question/internet
Can you tell me about the latest iPhone?,question/internet
What is your name?,question/about_assistant
What version are you running?,question/about_assistant
Do you have a personality?,question/about_assistant
Start a timer for 30 seconds,check_in_timer/start
"I'm feeling unwell, check back in with me after 2 hours",check_in_timer/start
"My head is spinning, can you let Linda know if I'm not better in 15 minutes?",check_in_timer/start
Cancel the check-in timer,check_in_timer/stop
Stop the Unwell Check-In Timer,check_in_timer/stop
"No need to let Linda know in a bit if I feel fine, I feel better now",check_in_timer/stop
"I haven't been feeling too well, I do not believe the Ritalin is working as intended.",logging/log_my_day
Hey! My stomach is rumbling a bit.,logging/log_my_day
"I had a lot of sweets today, will be abstaining from it in the future.",logging/log_my_day
My day was amazing today,logging/log_my_day
